Source,Date,Clinton,Trump,margin
NBC News/SurveyMonkey,October 10 2016,51,43,1.0
UPI/CVoter,October 10 2016,50,46,3.0
Politico/Morning Consult,October 13 2016,46,41,2.0
NBC News/Wall Street Journal,October 10 2016,51,41,3.3
ABC News/Washington Post,October 10 2016,50,46,4.0
Franklin Pierce University/Boston Herald,October 9 2016,46,41,3.1
George Washington University,October 8 2016,47,39,3.1
UPI/CVoter,October 7 2016,50,45,3.0
Fox News,October 10 2016,49,41,3.0
Politico/Morning Consult,October 10. 2016,46,41,3.0
NBC News/Wall Street Journal,October 8 2016,50,40,3.5
Ipsos/Reuters,October 6 2016,44,37,2.3
UPI/CVoter,October 4 2016,50,44,3.0
Pew Research Center,September 27 2016,53,44,2.9
NBC News/Wall Street Journal,October 8 2016,52,38,4.6
NBC News/SurveyMonkey,October 3 2016,51,44,1.0
UPI/CVoter,October 3 2016,49,44,3.0
Politico/Morning Consult,October 8. 2016,45,41,3.0
YouGov/The Economist,October 7 2016,48,43,4.2
Morning Consult,October 5 2016,44,42,2.0
Quinnipiac University,October 5 2016,50,44,3.0
Fox News,October 3 2016,48,44,3.0
Ipsos/Reuters,September 30 2016,43,38,3.0
UPI/CVoter,September 30 2016,48,47,3.0
UPI/CVoter,September 28 2016,47,48,3.0
USC/Los Angeles Times,September 28 2016,43,47,4.5
YouGov/The Economist,October 1 2016,48,43,3.9
Ipsos/Reuters,September 29 2016,44,37,2.5
Politico/Morning Consult,September 30 2016,46,39,2.0
Farleigh Dickinson/SSRS,September 28 2016,50,40,4.4
CBS News/New York Times,September 28 2016,49,43,3.0
CNN/ORC,September 28 2016,47,42,2.5
NBC News/SurveyMonkey,September 26 2016,50,44,1.0
UPI/CVoter,September 26 2016,47,49,3.0
USC/Los Angeles Times,September 24 2016,42,47,4.5
Fox News,September 27 2016,49,44,3.0
Ipsos/Reuters,September 23 2016,43,38,2.0
UPI/CVoter,September 23 2016,47,49,3.0
Public Policy Polling,September 27 2016,49,45,3.2
Ipsos/Reuters,September 27 2016,42,38,3.1
Echelon Insights,September 26 2016,47,42,
Morning Consult,September 26 2016,45,41,3.0
UPI/CVoter,September 21 2016,48,48,3.0
Ipsos/Reuters,September 22 2016,44,38,3.5
Quinnipiac University,September 22 2016,47,46,2.9
Monmouth University,September 22 2016,49,46,3.6
NBC News/SurveyMonkey,September 19 2016,51,44,1.1
USC/Los Angeles Times,September 19 2016,42,46,4.5
UPI/CVoter,September 19 2016,48,47,3.0
Morning Consult,September 22 2016,44,42,2.0
Bloomberg/Selzer,September 21 2016,46,46,3.1
ABC News/Washington Post,September 19 2016,49,47,4.5
Ipsos/Reuters,September 16 2016,41,37,3.0
USC/Los Angeles Times,September 15 2016,43,45,2.3
American Research Group,September 17 2016,47,44,3.2
McClatchy/Marist,September 15 2016,48,41,3.6
USC/Los Angeles Times,September 14 2016,42,46,2.3
YouGov/Economist,September 18 2016,45,44,4.0
NBC News/Wall Street Journal,September 16 2016,48,41,3.23
Ipsos/Reuters,September 15 2016,39,39,3.4
Associated Press/GFK,September 15 2016,50,44,2.5
USC/Los Angeles Times,September 13 2016,42,47,2.2
UPI/CVoter,September 12 2016,48,47,3.0
NBC News/SurveyMonkey,September 12 2016,50,45,1.2
UPI/CVoter,September 10 2016,47,47,3.0
UPI/CVoter,September 9 2016,47,48,3.0
Ipsos/Reuters,September 9 2016,42,38,3.0
USC/Los Angeles Times,September 9 2016,41,47,2.8
Fox News,September 11 2016,45,46,3.0
UPI/CVoter,September 8 2016,47,48,3.0
USC/Los Angeles Times,September 8 2016,41,47,3.1
YouGov/Economist,September 10 2016,46,44,4.0
CBS News/New York Times,September 9 2016,46,44,3
Quinnipiac University,September 8 2016,48,43,3.2
UPI/CVoter,September 7 2016,47,48,3.0
USC/Los Angeles Times,September 7 2016,42,47,2.7
Ipsos/Reuters,September 8 2016,40,39,3.3
UPI/CVoter,September 6 2016,46,49,3.0
Pew Research,August 16 2016,52,44,2.6
NBC News/SurveyMonkey,September 5 2016,48,44,1.1
UPI/CVoter,September 5 2016,46,49,3.0
Morning Consult,September 6 2016,44,43,2.0
ABC News/Washington Post,September 5 2016,51,43,4.5
USC/Los Angeles Times,September 2 2016,45,44,2.4
UPI/CVoter,September 2 2016,46,48,3.0
UPI/CVoter,September 1 2016,47,48,3.0
YouGov/Economist,September 4 2016,44,42,4.7
UPI/CVoter,August 31 2016,47,47,3.0
Ipsos/Reuters,September 1 2016,40,38,3.5
UPI/CVoter,August 30 2016,48,46,3.0
CNN/ORC,September 1 2016,48,49,3.5
NBC News/SurveyMonkey,August 29 2016,48,42,1.0
UPI/CVoter,August 29 2016,49,47,3.0
UPI/CVoter,August 28 2016,49,46,3.0
Morning Consult,September 1 2016,42,40,2
Ipsos/Reuters,August 26 2016,39,40,3.0
IBD/TIPP,August 26 2016,44,43,3.4
Fox News,August 28 2016,48,42,3.0
UPI/CVoter,August 24 2016,49,46,3.0
Ipsos/Reuters,August 25 2016,40,39,3.0
Suffolk University/USA Today,August 24 2016,48,41,3.0
UPI/CVoter,August 23 2016,50,47,3.0
USC/Los Angeles Times,August 23 2016,42,45,2.5
Public Policy Polling,August 26 2016,48,43,3.3
Monmouth University,August 25 2016,49,42,3.5
NBC News/SurveyMonkey,August 22 2016,48,42,1.0
UPI/CVoter,August 22 2016,50,47,3.0
UPI/CVoter,August 21 2016,50,47,3.0
Morning Consult,August 24 2016,43,40,2
Ipsos/Reuters,August 22 2016,41,36,3
Ipsos/Reuters,August 20 2016,42,35,2.9
UPI/CVoter,August 18 2016,48,49,3.0
Quinnipiac University,August 18 2016,51,41,2.5
USC/Los Angeles Times,August 18 2016,44,44,2.3
YouGov/Economist,August 19 2016,47,44,4.1
UPI/CVoter,August 17 2016,48,48,3.0
Ipsos/Reuters,August 18 2016,45,33,3
UPI/CVoter,August 16 2016,48,48,3.0
UPI/CVoter,August 15 2016,48,47,3.0
NBC News/SurveyMonkey,August 15 2016,50,42,1.1
American Research Group,August 17 2016,47,42,3.2
Morning Consult,August 16 2016,44,38,2
UPI/CVoter,August 14 2016,48,47,3.0
USC/Los Angeles Times,August 14 2016,43,45,2.8
Ipsos/Reuters,August 13 2016,41,36,2.8
UPI/CVoter,August 11 2016,50,46,3.0
UPI/CVoter,August 9 2016,51,44,3.0
Ipsos/Reuters,August 11 2016,41,35,3
Normington. Petts & Associates,August 9 2016,50,40,3.1
UPI/CVoter,August 9 2016,51,44,3.0
Morning Consult,August 11 2016,44,37,2
NBC News/SurveyMonkey,August 8 2016,50,41,1.2
UPI/CVoter,August 7 2016,50,45,3.0
UPI/CVoter,August 7 2016,49,46,3.0
UPI/CVoter,August 3 2016,49,45,3.0
Ipsos/Reuters,August 6 2016,42,36,2.9
YouGov/Economist,August 6 2016,48,41,4.2
UPI/CVoter,August 3 2016,48,46,3.0
Bloomberg Politics,August 5 2016,50,44,3.6
Ipsos/Reuters,August 4 2016,42,35,3.0
UPI/CVoter,August 2 2016,49,45,3.0
PSRAI,August 4 2016,45,39,3.9
UPI/CVoter,August 1 2016,49,44,3.0
NBC News/SurveyMonkey,August 1 2016,51,41,1.2
UPI/CVoter,July 31 2016,50,43,3.0
USC/Los Angeles Times,July 31 2016,45,44,2.8
Morning Consult,August 4 2016,46,37,2
ABC News/Washington Post,August 1 2016,51,44,3.5
Ipsos/Reuters,July 31 2016,42,39,3.0
UPI/CVoter,July 29 2016,50,44,3.0
IBD/TIPP,July 29 2016,46,39,3.4
McClatchy/Marist,August 1 2016,48,33,3.1
NBC News/Wall Street Journal,July 31 2016,47,38,3.46
Ipsos/Reuters,July 30 2016,43,39,3.5
USC/Los Angeles Times,July 28 2016,45,44,2.4
UPI/CVoter,July 27 2016,49,46,3.0
Fox News,July 31 2016,49,39,3
USC/Los Angeles Times,July 27 2016,44,45,2.2
YouGov/Economist,July 31 2016,46,43,4
Ipsos/Reuters,July 28 2016,43,35,3
USC/Los Angeles Times,July 26 2016,43,45,2.5
CNN/ORC,July 29 2016,52,43,3
CBS News,July 29 2016,47,41,3
NBC News/SurveyMonkey,July 25 2016,50,42,1.2
Morning Consult,July 29 2016,43,40,2
Public Policy Polling,July 29 2016,50,45,2.7
